Date,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,ADT,AEE
2009-09-30,18.986758293752,,23.820058343531,,19.829588773481,19.130306151348,46.01560699532853,202.27224017090813,30.846516691133,33.04,22.129125656828,23.952674628904,27.96295339639,23.8,,17.475762262216
2009-10-01,18.154424656728,,23.243017912086,,19.519474561205,18.824809044828,46.26522401793694,191.76103022077058,30.234055667483,32.18,21.318740707103,23.657569808014,27.71391946029,22.85,,17.143943991415
2009-10-02,17.949752450902,,23.762227071588,,19.15619791254,19.273387074655,46.27383150147516,187.28234076375543,31.036876198484,32.35,21.070008692831,23.305083494173,27.600075375215,22.62,,16.950383333447
2009-10-05,18.297695200805,,23.906676737507,,19.395428876295,19.462872621738,46.32547640270449,197.42794341127956,31.442424714144,32.55,21.150244826468,23.575596246656,27.592960119898,23.01,,17.130118230131
2009-10-06,18.57059147524,,24.418933292982,,19.625799433986,19.404866842019,47.048505019915034,206.47672415096318,31.72382572501,33.51,21.647708855011,24.1576085323,27.600075375215,23.76,,17.406633455799
2009-10-07,18.488722592909,,24.449776638018,,19.856169991676,19.350728114281,47.34976694375276,208.67036796664405,31.790037727567,33.26,21.479212974375,24.182200600707,27.76372624751,23.86,,17.420459217083
2009-10-08,18.693394798735,,24.323832979121,,19.847309585611,19.37779747815,47.16900978945012,214.24587933149965,32.394222250897,34.33,21.158268439831,24.362542435695,28.26179411971,23.92,,17.455023620291
2009-10-09,18.741151646761,,24.478049704301,,20.033378112976,19.366196322206,46.91939276684172,212.78345012104575,32.33628674866,34.64,21.992724229646,24.378937147967,28.581980608982,24.47,,17.468849381575
2009-10-12,18.7343292399,,24.521744443103,,20.148563391821,19.335259906356,46.66977574423332,216.2567194958738,32.700452762722,34.36,22.546353551735,24.469108065461,28.489482289859,25.02,,17.468849381575
2009-10-13,18.618348323266,,24.420218432359,,20.042238519041,19.354595166262,46.239401567322275,215.15989758803335,32.625964259846,34.62,22.482164644826,24.55108162682,28.389868715419,25.09,,17.475762262216
2009-10-14,18.823020529091,,24.583431133175,,20.440956791966,19.958817170445,47.10875740468258,215.06849576238,33.114277778702,35.43,22.987652286733,24.518292202276,29.030241693962,25.23,,17.482675142858
2009-10-15,18.843487749674,,24.48961595869,,20.689048161786,20.235589830426,47.057112503453254,219.82139069635522,32.726285731371,35.75,22.594495231917,24.31335829888,29.065817970548,25.49,,17.669322920184
2009-10-16,18.563769068379,,24.167045975187,,20.848535470956,20.048475919453,47.21204720714123,221.46662355811588,32.996193242558,35.67,22.193314563736,24.583871051363,28.902167098253,25.49,,17.703887323392
2009-10-19,18.693394798735,,24.399656202335,,20.759931410306,20.360332437741,47.46166422974964,229.23577873865233,32.633505024401,35.65,22.313668764191,25.157685980871,29.037356949279,25.97,,17.966576787777
